zip,boro_name,po_name
11251,Brooklyn,Brooklyn
10004,Manhattan,New York
11411,Queens,Cambria Heights
11201,Brooklyn,Brooklyn
11205,Brooklyn,Brooklyn
11208,Brooklyn,Brooklyn
11207,Brooklyn,Brooklyn
11413,Queens,Springfield Gardens
11217,Brooklyn,Brooklyn
11238,Brooklyn,Brooklyn
11231,Brooklyn,Brooklyn
11422,Queens,Rosedale
11420,Queens,South Ozone Park
11417,Queens,Ozone Park
11215,Brooklyn,Brooklyn
11414,Queens,Howard Beach
11232,Brooklyn,Brooklyn
11430,Queens,Jamaica
11203,Brooklyn,Brooklyn
11239,Brooklyn,Brooklyn
11236,Brooklyn,Brooklyn
11220,Brooklyn,Brooklyn
10301,Staten Island,Staten Island
10310,Staten Island,Staten Island
10303,Staten Island,Staten Island
11234,Brooklyn,Brooklyn
10302,Staten Island,Staten Island
11693,Queens,Far Rockaway
11209,Brooklyn,Brooklyn
10304,Staten Island,Staten Island
10314,Staten Island,Staten Island
11693,Brooklyn,Far Rockaway
11228,Brooklyn,Brooklyn
11096,Queens,Inwood
10305,Staten Island,Staten Island
11229,Brooklyn,Brooklyn
11214,Brooklyn,Brooklyn
11691,Queens,Far Rockaway
11223,Brooklyn,Brooklyn
11692,Queens,Arverne
11235,Brooklyn,Brooklyn
10306,Staten Island,Staten Island
11694,Queens,Rockaway Park
11224,Brooklyn,Brooklyn
10308,Staten Island,Staten Island
11697,Queens,Breezy Point
10312,Staten Island,Staten Island
10309,Staten Island,Staten Island
10307,Staten Island,Staten Island
10280,Manhattan,New York
10048,Manhattan,New York
10279,Manhattan,New York
10165,Manhattan,New York
10168,Manhattan,New York
10055,Manhattan,New York
10105,Manhattan,New York
10118,Manhattan,New York
10176,Manhattan,New York
10162,Manhattan,New York
10019,Manhattan,New York
10111,Manhattan,New York
10170,Manhattan,New York
10112,Manhattan,New York
10122,Manhattan,New York
10107,Manhattan,New York
10103,Manhattan,New York
10153,Manhattan,New York
10174,Manhattan,New York
10166,Manhattan,New York
10169,Manhattan,New York
10167,Manhattan,New York
10177,Manhattan,New York
10172,Manhattan,New York
10171,Manhattan,New York
10154,Manhattan,New York
10152,Manhattan,New York
10270,Manhattan,New York
10104,Manhattan,New York
10271,Manhattan,New York
10110,Manhattan,New York
10175,Manhattan,New York
10151,Manhattan,New York
10173,Manhattan,New York
10178,Manhattan,New York
10119,Manhattan,New York
10121,Manhattan,New York
10115,Manhattan,New York
10123,Manhattan,New York
10106,Manhattan,New York
10158,Manhattan,New York
10041,Manhattan,New York
10120,Manhattan,New York
10278,Manhattan,New York
10155,Manhattan,New York
10022,Manhattan,New York
10043,Manhattan,New York
10081,Manhattan,New York
10096,Manhattan,New York
10097,Manhattan,New York
10196,Manhattan,New York
10275,Manhattan,New York
10265,Manhattan,New York
10045,Manhattan,New York
10047,Manhattan,New York
10080,Manhattan,New York
10203,Manhattan,New York
10259,Manhattan,New York
10260,Manhattan,New York
10285,Manhattan,New York
10286,Manhattan,New York
11370,Bronx,Bronx
10065,Manhattan,New York
10075,Manhattan,New York
10069,Manhattan,New York
10281,Manhattan,New York
10282,Manhattan,New York
